id,tweet_id,tag_result,features,decision_source
1,1867403867933356000,Negative,{},User agreement
2,1897308405058138600,Irrelevant,{},User agreement
3,1897319205080588800,Negative,{},User agreement
4,1841049096574157000,Positive,"{""Justifying Nazi ideology""}",User agreement
5,1721478505442197500,Positive,"{""Blood libels and religiously based antisemitism"",""Calling for violence and hostility against Israel"",""Collective blame of Jews for actions of the State of Israel""}",User agreement
6,1768462114010870000,Irrelevant,{},User agreement
7,1822925497816519000,Positive,"{""Justifying Nazi ideology""}",User agreement
8,1835474342328902000,Irrelevant,{},User agreement
9,1875427793045221400,Irrelevant,{},User agreement
10,1844980852066800000,Irrelevant,{},User agreement
11,1808731082336108500,Positive,"{""Comparing Israel and its policies to Nazi Germany"",Other}",User agreement
12,1869376992417812700,Positive,"{""Spreading conspiracy theories about Jewish control (power, money, and media)""}",User agreement
13,1878096967714394600,Negative,{},User agreement
14,1806543085721317600,Positive,"{""Applying double standards to Israel that are not applied to other states (double standard)"",""Denying the Jewish people's right to self-determination/the right of Israel to exist"",""Collective blame of Jews for actions of the State of Israel""}",User agreement
15,1854264973977100500,Positive,"{""Applying double standards to Israel that are not applied to other states (double standard)"",""Calling for violence and hostility against Israel"",""Denying the Jewish people's right to self-determination/the right of Israel to exist"",""Collective blame of Jews for actions of the State of Israel""}",User agreement
16,1796315018490954000,Negative,{},User agreement
17,1842009930875994400,Irrelevant,{},User agreement
18,1848865012305301500,Positive,"{""Demonization of Jews (portraying them as inferior and despicable)"",Other}",User agreement
19,1834659062681899000,Negative,{},User agreement
20,1821441855113838800,Negative,{},User agreement
21,1846816095665377300,Negative,{},User agreement
22,1830472523869557200,Positive,"{""Justifying Nazi ideology""}",User agreement
23,1864771420678447400,Negative,{},User agreement
24,1878174018391409000,Negative,{},User agreement
25,1814455828034007000,Positive,"{Other,""Denying the Jewish people's right to self-determination/the right of Israel to exist""}",User agreement
26,1824364637451850000,Negative,{},User agreement
27,1830407463453290500,Negative,{},User agreement
28,1869212604301979600,Irrelevant,{},User agreement
29,1792104130854670800,Positive,{Other},User agreement
30,1862495487057654000,Negative,{},User agreement
31,1788045944333943000,Negative,{},User agreement
32,1762713531651346700,Positive,"{Other,""Calling for violence and hostility against Israel""}",User agreement
33,1898880694191116300,Negative,{},User agreement
34,1774330522531218000,Positive,"{Other,""Denying the Jewish people's right to self-determination/the right of Israel to exist""}",User agreement
35,1848668562992275500,Negative,{},User agreement
36,1880337784541704200,Positive,"{""Cynical use of the Holocaust and Holocaust denial"",Other,""Spreading conspiracy theories about Jewish control (power, money, and media)""}",User agreement
37,1864434451176149200,Positive,"{""Denying the Jewish people's right to self-determination/the right of Israel to exist"",""Collective blame of Jews for actions of the State of Israel""}",User agreement
38,1760081365197115400,Positive,"{""Applying double standards to Israel that are not applied to other states (double standard)"",""Comparing Israel and its policies to Nazi Germany"",Other,""Denying the Jewish people's right to self-determination/the right of Israel to exist""}",User agreement
39,1896453849969504300,Negative,{},User agreement
