"id","user_posted","name","description","date_posted","photos","url","quoted_post","tagged_users","replies","reposts","likes","views","external_url","hashtags","followers","biography","posts_count","profile_image_link","following","is_verified","quotes","bookmarks","parent_post_details","external_image_urls","videos","external_video_urls","timestamp","input","discovery_input","error","error_code","warning","warning_code"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-04-02T15:35:07.510Z","{""url"":""https://x.com/jacobhersant"",""start_date"":""2023-10-07T00:00:00.000Z"",""end_date"":""""}",,,,"No results: 
Account suspended
","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-04-02T15:35:38.094Z","{""url"":""https://x.com/ornery_owls"",""start_date"":""2023-10-07T00:00:00.000Z"",""end_date"":""""}",,,,"Blocking: sign in to X redirect","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-04-02T15:35:44.772Z","{""url"":""https://x.com/RadioNational"",""start_date"":""2023-10-07T00:00:00.000Z"",""end_date"":""""}",,,,"No public posts were found in the profile for the specified period.","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-04-02T15:37:58.268Z","{""url"":""https://x.com/Angelic_Air"",""start_date"":""2023-10-07T00:00:00.000Z"",""end_date"":""""}",,,,"Blocking: sign in to X redirect","dead_page"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-04-02T15:38:59.955Z","{""url"":""https://x.com/AnimarchyYT"",""start_date"":""2023-10-07T00:00:00.000Z"",""end_date"":""""}",,,,"Blocking: sign in to X redirect","dead_page"
"1883642327094481228","Partisangirl","Syrian Girl","Israel has produced its first ""rape"" victim, she accuses Hamas of *drum roll* staring at her.""If a guard stares at you everyday for ten minutes, trust me that's a rape"".By mass rape they meant mass staring. This is their entitled victimhood mindset.https://t.co/6g8x6pahPN","2025-01-26T22:25:01.000Z",,"https://x.com/Partisangirl/status/1883642327094481228","{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}",,1800,11475,60240,4574292,,,494973,"Analyst | Scientist | Journalist | Support me here | https://t.co/8YmFbGYpZv contact: syriangirlpartisan@gmail.com",21553,"https://pbs.twimg.com/profile_images/1388088742112419843/NHMfZDvO_normal.jpg",2608,false,835,6116,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,"[{""video_url"":""https://video.twimg.com/amplify_video/1883639796871950336/vid/avc1/1620x1080/h0eO9pUreaWeofRi.mp4?tag=16"",""duration"":32500}]",,"2025-04-02T15:41:01.970Z","{""url"":""https://twitter.com/312696314/status/1883642327094481228""}","{""url"":""https://x.com/Partisangirl"",""start_date"":""2023-10-07T00:00:00.000Z"",""end_date"":""""}",,,,
"1889584878930325943","Partisangirl","Syrian Girl","Australians should remember how Israel murdered an Australian aid worker then mocked her death.","2025-02-12T07:58:36.000Z","[""https://pbs.twimg.com/media/GjknbeyaYAAViEs.jpg"",""https://pbs.twimg.com/media/GjknbeyaIAExTNk.jpg""]","https://x.com/Partisangirl/status/1889584878930325943","{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}",,354,17378,76035,1276092,,,494973,"Analyst | Scientist | Journalist | Support me here | https://t.co/8YmFbGYpZv contact: syriangirlpartisan@gmail.com",21553,"https://pbs.twimg.com/profile_images/1388088742112419843/NHMfZDvO_normal.jpg",2608,false,140,2946,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,,,"2025-04-02T15:41:02.458Z","{""url"":""https://twitter.com/312696314/status/1889584878930325943""}","{""url"":""https://x.com/Partisangirl"",""start_date"":""2023-10-07T00:00:00.000Z"",""end_date"":""""}",,,,
"1874455630666428745","Partisangirl","Syrian Girl","Australian singer Iyah May lost a contract for refusing to change these lyrics.Beautiful girl, beautiful words.Australia’s dissident spirit.","2025-01-01T14:00:22.000Z",,"https://x.com/Partisangirl/status/1874455630666428745","{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}",,475,7958,33298,1089883,,,494973,"Analyst | Scientist | Journalist | Support me here | https://t.co/8YmFbGYpZv contact: syriangirlpartisan@gmail.com",21553,"https://pbs.twimg.com/profile_images/1388088742112419843/NHMfZDvO_normal.jpg",2608,false,201,3662,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,"[{""video_url"":""https://video.twimg.com/amplify_video/1873804497958363136/vid/avc1/720x1280/4TS5t0Pu7mCgHn-n.mp4?tag=16"",""duration"":31975}]",,"2025-04-02T15:41:02.566Z","{""url"":""https://twitter.com/312696314/status/1874455630666428745""}","{""url"":""https://x.com/Partisangirl"",""start_date"":""2023-10-07T00:00:00.000Z"",""end_date"":""""}",,,,
"1891592000173973739","Partisangirl","Syrian Girl","Whenever you see an Israeli woman remember she served in the IDF.","2025-02-17T20:54:11.000Z",,"https://x.com/Partisangirl/status/1891592000173973739","{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}",,694,8642,35594,894682,,,494973,"Analyst | Scientist | Journalist | Support me here | https://t.co/8YmFbGYpZv contact: syriangirlpartisan@gmail.com",21553,"https://pbs.twimg.com/profile_images/1388088742112419843/NHMfZDvO_normal.jpg",2608,false,201,2404,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,"[{""video_url"":""https://video.twimg.com/ext_tw_video/1891591958843523072/pu/vid/avc1/720x720/0xzml4wb6TKh4kKe.mp4?tag=12"",""duration"":38144}]",,"2025-04-02T15:41:02.953Z","{""url"":""https://twitter.com/312696314/status/1891592000173973739""}","{""url"":""https://x.com/Partisangirl"",""start_date"":""2023-10-07T00:00:00.000Z"",""end_date"":""""}",,,,
"1848216376126628235","Partisangirl","Syrian Girl","Yahya Sinwar always carried a pistol with silencer on him that he took from the corpse of an Israeli mossad agent that invaded Gaza to try and assassinate him.","2024-10-21T04:14:56.000Z","[""https://pbs.twimg.com/media/GaYu_8XbgAACHCN.jpg""]","https://x.com/Partisangirl/status/1848216376126628235","{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}",,1388,5067,39687,904751,,,494973,"Analyst | Scientist | Journalist | Support me here | https://t.co/8YmFbGYpZv contact: syriangirlpartisan@gmail.com",21553,"https://pbs.twimg.com/profile_images/1388088742112419843/NHMfZDvO_normal.jpg",2608,false,183,1782,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,,,"2025-04-02T15:41:03.090Z","{""url"":""https://twitter.com/312696314/status/1848216376126628235""}","{""url"":""https://x.com/Partisangirl"",""start_date"":""2023-10-07T00:00:00.000Z"",""end_date"":""""}",,,,
