tagged_by,total_classifications,avg_duration_seconds,num_positive,num_negative,num_irrelevant,num_uncertain,percent_positive,percent_negative,percent_irrelevant,percent_uncertain
3,250,13.0,55,135,60,0,22.0,54.0,24.0,0.0
4,161,18.0,37,52,66,6,22.98,32.3,40.99,3.73
5,21,24.0,8,4,9,0,38.1,19.05,42.86,0.0
7,194,16.0,44,88,60,2,22.68,45.36,30.93,1.03
8,69,18.0,22,20,27,0,31.88,28.99,39.13,0.0
9,250,21.0,84,92,73,1,33.6,36.8,29.2,0.4
11,168,19.0,72,61,34,1,42.86,36.31,20.24,0.6
12,250,12.0,68,153,27,2,27.2,61.2,10.8,0.8
14,50,23.0,12,15,23,0,24.0,30.0,46.0,0.0
15,31,47.0,7,12,12,0,22.58,38.71,38.71,0.0
16,93,17.0,43,18,32,0,46.24,19.35,34.41,0.0
